Latin_Name,Common_Name,Family_Name,Former_Latin_Name,Plant_Type,Bloom_Time,Flower_Color,Size_at_Maturity,Climate_Appropriate_Plants,Plant_Communities,Suitable_Site_Conditions,Soil_Type,Pruning_Needs,Water_Needs,Habitat_Value,Associated_Wildlife,Stormwater_Benefit,Stormwater_int,Appropriate_Location,Suggested_Green_Connection_Routes,Street_Tree_List,Additional_Characteristices_Notes,Nurseries,PhotoCredit01,PhotoCredit02,PhotoCredit03,PhotoCredit04,Additional_Species_Cultivars_Varieties,Special_List,Habitat,Habitat_int,Thrifty150,Thrifty150_int,Sidewalk_Landscaping_Plants,Sidewalk_Landscaping_Plants_int,Super60,Super60_int,Top20,Top20_int,Shady_Clay,Shady_Clay_int,Sandy_Soil,Sandy_Soil_int
Eleocharis macrostachya,Common or Creeping Spikerush,Cyperaceae,"E.perlonga, E.xyridiformis",Grass,Spring,Brown,1-3 ft,SF Native ,Riparian;Wetland,Sun,Clay;Loam;Sand;Rock,Minimal,Moderate,Buds/greens;Cover;Nesting,Birds,Yes,1,Garden,NA,NA,Brown Seedhead.,,©2007 Neal Kramer,©2009 Keir Morse (CC BY-NC-SA 3.0),©2009 Keir Morse (CC BY-NC-SA 3.0),©2004 Carol W. Witham,,,Yes,1,,,,,,,,,,,,
Eleocharis parvula,Dwarf Spikerush,Cyperaceae,"Chaetocyperus membranacea, Scirpus nanus var. anachaetus",Grass,Summer,Brown;Green,< 1 ft,CA Native,Wetland,Sun;Part Shade,Clay;Loam;Sand;Rock,Minimal,Moderate,,No data,No,0,Garden,NA,NA,CNPS Rare Plant,,© Biopix: JC Schou,Robert H. Mohlenbrock @ USDA-NRCS PLANTS Database / USDA SCS. 1991,© Larry Allain,©2006 John Maunder,,,Yes,1,,,,,,,,,,,,
Elymus glaucus,Blue Wild-rye,Poaceae,,Grass,Summer,Blue;Yellow,1-3 ft,SF Native ,Coastal scrub;Grassland/prairie;Woodland,Part Shade,Clay;Loam;Sand,,None,Fruit,Birds;Butterflies,Yes,1,Garden;Roof,23,NA,Versatile flower that is a weedfighter and survivor.,Oaktown;Native Here;Candlestick;Flora Grubb;Bay Natives;East Bay Wilds;Flora Grubb;Watershed Nursery;,©2013 Jean Pawek,©2013 Jean Pawek,©2013 Jean Pawek,©2008 Keir Morse (CC BY-NC-SA 3.0),,,Yes,1,,,,,Y,1,,,,,,
Elymus mollis ssp. mollis,American Dune Grass,Poaceae,Leymus mollis ssp. mollis,Grass,Summer,Yellow,1-3 ft,SF Native ,Dunes,Sun,Sand,,None,Pollinator,Butterflies,No,0,Sidewalk;Garden,13;7,NA,"Needs dunes and shifting sand, most likely by ocean beach.",,© Mike LaBarbera,© Avis Boutell,©2010 Robert Steers/NPS,© Jeb Bjerke,,,Yes,1,,,Yes,1,,,,,,,,
Elymus pacificus,Pacific wild rye,Poaceae,,Grass,Summer,Yellow,1-3 ft,SF Native ,Coastal scrub;Dunes,Sun;Part Shade,Clay;Loam;Sand,,Low,Fruit,Birds,No,0,Garden;Roof,NA,NA,,,© Avis Boutell,© Avis Boutell,© Avis Boutell,©2006 Tom Annese,,,Yes,1,,,,,,,,,,,,
Elymus triticoides,Beardless wild rye,Poaceae,,Grass,Summer,Yellow,4-6 ft,SF Native ,Coastal scrub;Riparian;Woodland,Sun;Part Shade,Clay;Loam;Sand,,Low,Fruit,Birds,Yes,1,Garden;Roof,NA,NA,Versatile flower that is a runner and good for binding.,,© Matt Lavin,© Matt Lavin,© Matt Lavin,© Matt Lavin,,,Yes,1,,,,,,,,,,,,
Encelia californica,Bush Sunflower,Asteraceae,,Shrub (evergreen),Spring;Summer;Winter,Yellow,4-6 ft,CA Native,Chaparral,Sun,Clay,Cut to ground,Low,Pollinator,Bees;Birds;Butterflies,No,0,Sidewalk;Garden,10,NA,Sunflower-like flowers. Attracts Red-Winged Blackbird.,,©2004 BonTerra Consulting,©2011 Zoya Akulova  (CC BY-NC 3.0),©2003 Michael Charters,©Las Pilitas Nursery,,,Yes,1,Yes,1,Yes,1,,,,,,,,
Epilobium brachycarpum,Annual Fireweed,Onagraceae,,Annual,Summer,Pink,4-6 ft,SF Native,Chaparral;Grassland/prairie;Woodland,Sun;Shade,Clay;Loam;Sand,,None,Buds/greens;Fruit;Pollinator,Birds;Hummingbirds;Insects,No,0,Garden,NA,NA,Self-seeds. Attracts Lesser Goldfinches and Sphinx Moth.,,©2007 Ron Wolf,©2007 George W. Hartwell,"© Br. Alfred Brousseau, Saint Mary's College",©2002 Gary A. Monroe  (CC BY-NC 3.0),,,Yes,1,,,,,,,,,,,,
Festuca californica,California Fescue,Poaceae,,Grass,Spring;Winter,Yellow,1-3 ft,SF Native ,Woodland;Coastal scrub,Part Shade,clay;loam,,Low,Cover,Butterflies,Yes,1,Garden;Sidewalk;Roof,21,NA,Attracts Black-tailed jackrabbit.,Oaktown;Native Here;Mission Blue;Candlestick;Flora Grubb;Bay Natives;East Bay Wilds;Watershed Nursery;,©2007 California Native Plant Society,©2007 Neal Kramer,©2011 Aaron Arthur,©2001 CDFA (CC BY-NC 3.0),,Shady Clay,Yes,1,,,Yes,1,Y,1,,,Shady Clay,1,,
Epilobium canum,California Fuchsia,Onagraceae,Zauschneria californica,Perennial,Summer;Fall,Orange;Pink,1-3 ft,CA Native,Coastal Scrub;Chaparral,Sun;Part Shade,Loam;Rock;Sand,Cut to ground,None,Pollinator,Bees;Birds;Butterflies;Hummingbirds,Yes,1,Garden;Roof,3,NA,Attracts Anna's Hummingbird and White Line Sphinx moth.,Oaktown;Native Here;Mission Blue;Flora Grubb;Bay Natives;East Bay Wilds;Watershed Nursery;,© 1993 Gary A. Monroe (CC BY-NC 3.0),© Tony Frates  (CC BY-NC-SA 2.0),© 1993 Gary A. Monroe (CC BY-NC 3.0),© Don M. Davis  (CC BY-NC-ND 2.0),,Top 20,Yes,1,,,,,Y,1,,1,,,,
Epilobium ciliatum ssp. watsonii,Willow Herb,Onagraceae,,Perennial,Spring;Summer,Pink,1-3 ft,SF Native ,Wetland;Coastal scrub;Riparian;Woodland,Sun;Part Shade,Clay;Loam;Sand;Rock,,Low,Fruit;Pollinator,Birds;Hummingbirds,No,0,Garden,NA,NA,Self-seeds. Attracts Lesser Goldfinches.,,© Ken Gardiner,©2013 Jean Pawek,©1999 James B. Gratiot,© David A. Hofmann,,,Yes,1,,,,,,,,,,,,
Ericameria ericoides,Mock Heather,Asteraceae,,Shrub (evergreen),Fall,Yellow,1-3 ft,SF Native ,Dunes,Sun,Sand,,None,Cover,No data,No,0,Sidewalk;Garden,13;24;9,NA,"Needs dunes and shifting sand, most likely by ocean beach.",,©2003 Christopher L. Christie,©2013 Aaron Arthur,Robert Potts © California Academy of Sciences,©2012 Jean Pawek,,,Yes,1,,,Yes,1,,,,,,,,
Erigeron glaucus,Seaside Daisy,Asteraceae,,Perennial,Spring;Winter,Pink,1-3 ft,SF Native ,Dunes;Coastal scrub,Sun;Part Shade,Clay;Loam;Sand,,None,Pollinator,Bees;Butterflies,Yes,1,Garden;Sidewalk;Roof,14;15,NA,Adaptable to many locations. Attracts Green Hairstreak (Callophrys viridis) butterfly.,Oaktown;Mission Blue;Candlestick;Flora Grubb;Bay Natives;East Bay Wilds;Sutro Stewards;Watershed Nursery;,©1994 Gary A. Monroe (CC BY-NC 3.0),Albert P. Bekker © California Academy of Sciences,©2010 Steven Thorsted (CC BY-NC 3.0),Charles Webber © California Academy of Sciences,,Sandy Soil;Top 20,Yes,1,,,Yes,1,Y,1,,1,,,Sandy Soil,1
Eriobotrya deflexa,Bronze Loquat,Asteraceae,,Tree (evergreen),Spring,White,13-24 ft,Exotic,,Sun;Part Shade,,,Low,,Birds;Butterflies,No,0,Sidewalk,NA,2 (B),"Needs wind protection, does not perform well in sandy soils.",,"SelecTree. ""Eriobotrya deflexa Photo Record."" 1995-2012. Jul 7, 2014.","SelecTree. ""Eriobotrya deflexa Photo Record."" 1995-2012. Jul 7, 2014.","SelecTree. ""Eriobotrya deflexa Photo Record."" 1995-2012. Jul 7, 2014.","SelecTree. ""Eriobotrya deflexa Photo Record."" 1995-2012. Jul 7, 2014.",,,Yes,1,,,Yes,1,,,,,,,,
Eriogonum latifolium,Coast Buckwheat,Polygonaceae,,Perennial,Summer;Fall,Pink,1-3 ft,SF Native ,Dunes;Coastal Scrub;Grassland/prairie,Sun;Part Shade,Rock;Sand;Clay,,None,Buds/greens;Pollinator,Bees;Birds;Butterflies;Insects,Yes,1,Garden;Sidewalk;Roof,13;14;15;20;5,NA,Recommended. Attracts Green Hairstreak (Callophrys viridis) and Acmon Blue (Plebejus acmon) butterflies.,Oaktown;Mission Blue;Candlestick;East Bay Wilds;Bay Natives;Sutro Stewards;Watershed Nursery;,©2010 Zoya Akulova (CC BY-NC 3.0),©2004 Bob Huettmann,©2012 Robert Sikora,©2000 Joseph Dougherty/ecology.org,,Sandy Soil;Top 20,Yes,1,,,Yes,1,Y,1,,1,,,Sandy Soil,1
Eriophyllum staechadifolium,Lizardtail,Asteraceae,,Perennial,Spring;Summer,Yellow,1-3 ft,SF Native ,Dunes;Coastal scrub,Sun;Part Shade,Clay;Loam;Sand,,None,Pollinator,Bees;Butterflies;Insects,No,0,Garden;Sidewalk;Roof,9,NA,"Recommended. Likes the fog belt, but could do the east side.",,©2005 Bob Huettmann,©2013 Neal Kramer,©2013 Neal Kramer,©2013 Jean Pawek,,,Yes,1,,,Yes,1,,,,,,,,
Erysimum franciscanum,San Francisco Wallflower,Brassicaceae,,Perennial,Spring,Yellow,1-3 ft,SF Native ,Coastal scrub;Dunes,Sun,Loam;Sand;Clay;Rock,,None,Pollinator,Bees;Butterflies,No,0,Garden,NA,NA,CNPS Rare Plant,Oaktown;Mission Blue;Bay Natives;East Bay Wilds;Sutro Stewards;,©2002 Doreen L. Smith,©2013 Neal Kramer,©2013 Neal Kramer,©2011 Dylan Neubauer,,,Yes,1,,,,,Y,1,,,,,,
Escallonia bifida,White Escallonia,Escalloniaceae,,Perennial,Summer,White,7-12 ft,Exotic,,Sun,Loam,,Low,Pollinator,Butterflies,No,0,Garden,NA,NA,,,© rachel greenbelt (CC by-nc-sa 2.0),© ibsut (CC by-nc 2.0),© Nigel Taylor,© wally grom (CC by-nc-sa 2.0),,,Yes,1,,,,,,,,,,,,
Eschscholzia californica,California Poppy,Papaveraceae,,Perennial,Spring;Summer,Orange;Yellow,1-3 ft,SF Native,Chaparral;Grassland/prairie;Woodland;Coastal scrub;Dunes,Sun,Clay;Loam;Sand;Rock,,None,Cover;Pollinator,Bees;Birds;Butterflies,Yes,1,Garden;Sidewalk;Roof,NA,NA,"Coastal form is smaller and more yellow, large orange form is native inland.",Oaktown;Mission Blue;Candlestick;Flora Grubb;Bay Natives;East Bay Wilds;Sutro Stewards;Watershed Nursery;,"© Br. Alfred Brousseau, Saint Mary's College",Charles Webber © California Academy of Sciences,Gerald and Buff Corsi © California Academy of Sciences,©2007 Neal Kramer,,Sandy Soil;Top 20,Yes,1,Yes,1,Yes,1,Y,1,,1,,,Sandy Soil,1
Adenanthos spp.,Woolly Bush,Proteaceae,,Shrub (evergreen),,,varies,Exotic,,Sun;Part Shade,,,Low,,,,,Garden,NA,NA,,,©2014 Cerlin Ng,©2013 Clare Snow,,,"sericea, cuneatus",,,,Yes,1,,,,,,,,,,
Eucalyptus polyanthemos,Silver Dollar Gum,Myrtaceae,,Tree (evergreen),Summer;Fall,White,> 24 ft,Exotic,,Sun,,,Low,,Birds;Butterflies,No,0,Sidewalk,NA,2 (B),"Needs a large basin, fast grower, high maintenance.",,"SelecTree. ""Eucalyptus polyanthemos Photo Record."" 1995-2012. Jul 7, 2014.","SelecTree. ""Eucalyptus polyanthemos Photo Record."" 1995-2012. Jul 7, 2014.","SelecTree. ""Eucalyptus polyanthemos Photo Record."" 1995-2012. Jul 7, 2014.","SelecTree. ""Eucalyptus polyanthemos Photo Record."" 1995-2012. Jul 7, 2014.",,,Yes,1,,,Yes,1,,,,,,,,
Festuca idahoensis,Idaho Fescue,Poaceae,,Grass,Summer,Yellow,< 1 ft,SF Native,Chaparral;Grassland/prairie;Woodland,Sun;Part Shade,Clay;Loam;Sand;Rock,,None,Buds/greens;Pollinator,Birds;Butterflies,Yes,1,Garden;Sidewalk;Roof,7,NA,,,Bert Wilson © Las Pilitas Nursery,© Andy Huber/GROWISER,©2008 Keir Morse (CC BY-NC-SA 3.0),©2005 Steve Matson,,,Yes,1,,,Yes,1,,,,,,,,
Festuca rubra,Red Fescue,Poaceae,,Grass,Spring,Yellow,< 1 ft,SF Native ,Chaparral;Grassland/prairie;Wetland;Woodland;Dunes,Sun;Part Shade,Clay;Loam;Sand,,None,Cover;Fruit,Bees;Birds;Butterflies,Yes,1,Garden;Sidewalk;Roof,NA,NA,,Oaktown;Native Here;Mission Blue;Candlestick;Flora Grubb;Bay Natives;East Bay Wilds;Watershed Nursery;,©Forest and Kim Starr (CC BY 2.0),©oliveoligarchy (CC BY 2.0),©oliveoligarchy (CC BY 2.0),©oliveoligarchy (CC BY 2.0),,Sandy Soil,Yes,1,,,Yes,1,Y,1,,,,,Sandy Soil,1
Festuca rubra 'Point Molate',Molate Fescue,Poaceae,,Grass,Spring,Indigo,1-3 ft,CA Native,Grassland/prairie,Sun;Part Shade,Clay;Loam;Sand,,None,Cover;Fruit,Bees;Birds;Butterflies,No,0,Garden;Roof,NA,NA,,,Peggy A. Lopipero-Langmo (CC BY 2.0),oliveoligarchy (CC BY 2.0),eNikodemus (CC BY 2.0),Starr Environmental (CC BY 2.0),,,Yes,1,,,,,,,,,,,,
Fragaria chiloensis,Coast Strawberry,Rosaceae,,Perennial,Winter,White,< 1 ft,SF Native ,Dunes;Coastal scrub;,Sun;Part Shade,Clay;Loam;Sand;Rock,,None,Cover;Fruit,Bees;Birds;Butterflies,Yes,1,Garden;Sidewalk;Roof,15;24;5,NA,Endures wind well. Attracts Green Hairstreak (Callophrys viridis) butterfly.,Oaktown;Mission Blue;Candlestick;Flora Grubb;Bay Natives;East Bay Wilds;Sutro Stewards;Watershed Nursery;,©2013 Margo Bors,©2013 Zoya Akulova (CC BY-NC 3.0),©2014 Vernon Smith (CC BY-NC-ND 3.0),"© Br. Alfred Brousseau, Saint Mary's College",,Sandy Soil;Top 20,Yes,1,,,Yes,1,Y,1,,1,,,Sandy Soil,1
Fragaria vesca,Woodland Strawberry,Rosaceae,,Perennial,Spring;Winter,White,< 1 ft,SF Native ,Woodland;Coastal scrub,Part Shade;Shade,Clay;Loam,,Low,Cover;Fruit,Bees;Birds;Butterflies,Yes,1,Garden;Sidewalk;Roof,NA,NA,,,©2006 Vivian Parker (CC BY-SA 3.0),©2008 Keir Morse (CC BY-NC-SA 3.0),oxfordian.world (CC BY 2.0),©2008 Keir Morse (CC BY-NC-SA 3.0),,Shady Clay,Yes,1,,,Yes,1,,,,,Shady Clay,1,,
Frangula californica,Coffeeberry,Rhamnaceae,Rhamnus californica,Shrub (evergreen),Summer,Burgundy,7-12 ft,SF Native ,Coastal scrub;Woodland,Sun;Part Shade,Clay;Loam;Sand;Rock,,None,Cover;Buds/greens;Fruit;Pollinator,Bees;Birds;Butterflies;Insects,Yes,1,Garden,9,NA,Attracts Pale Tiger Swallowtail (Papilio eurymedon) and White-Crowned Sparrow.,Oaktown;Native Here;Mission Blue;Candlestick;Flora Grubb;Bay Natives;East Bay Wilds;Sutro Stewards;Watershed Nursery;,©2012 Neal Kramer,©2012 Aaron Arthur,©2012 Jean Pawek,©2012 Jean Pawek,,Sandy Soil;Shady Clay;Top 20,Yes,1,Yes,1,,,Y,1,,1,Shady Clay,1,Sandy Soil,1
Frankenia salina,Alkali-heath,Frankeniaceae,,Perennial,Spring;Summer,Pink,1-3 ft,SF Native ,Wetland,Sun;Part Shade,Clay;Loam;Sand,,Moderate,Fruit,Birds;Butterflies,Yes,1,Garden,24,NA,,,Charles Webber © California Academy of Sciences,"© Br. Alfred Brousseau, Saint Mary's College","© Br. Alfred Brousseau, Saint Mary's College",©2008 Margo Bors,,,Yes,1,,,,,,,,,,,,
Fraxinus latifolia,Oregon Ash,Oleaceae,,Tree (deciduous),Spring,Green,> 24 ft,CA Native,Riparian;Woodland,Sun;Part Shade,Clay;Loam;Sand,,Low,Fruit;Nesting,Birds;Butterflies,Yes,1,Garden,NA,NA,Attracts Pale Swallowtail (Papilio eurymedon) and Western Tiger Swallowtail (Papilio rutulus).,,"© Br. Alfred Brousseau, Saint Mary's College","© Br. Alfred Brousseau, Saint Mary's College",©2008 Neal Kramer,©2008 Keir Morse (CC BY-NC-SA 3.0),,,Yes,1,,,,,,,,,,,,
Fremontodendron 'California Glory',Flannel Bush,Malvaceae,,Shrub (evergreen),Spring,Yellow,4-6 ft,CA Native,Chaparral;Woodland,Sun;Part Shade,Clay;Loam;Sand,,None,Cover;Buds/greens;Pollinator,Bees;Butterflies;Insects,No,0,Garden,NA,NA,,,©2013 Jean Pawek,©2008 BonTerra Consulting,"© Br. Alfred Brousseau, Saint Mary's College.","© Br. Alfred Brousseau, Saint Mary's College.",,,Yes,1,Yes,1,,,,,,,,,,
Gaillardia x grandiflora,Gaillardia (Blanket Flower),Asteraceae,,Perennial,Summer,Orange;Red;Yellow,1-3 ft,Exotic,,Sun,Clay;Loam;Sand,,Low,Pollinator,Bees;Birds,No,0,Garden,NA,NA,,, © The Brroksville Garden Club,Toni Moore © 2005-2006 Arizona Board of Regents,© The Brroksville Garden Club,Toni Moore © 2005-2006 Arizona Board of Regents,,,Yes,1,Yes,1,,,,,,,,,,
Galvezia speciosa,Island Bush Snapdragon,Plantaginaceae,,Perennial,Spring,Red,4-6 ft,CA Native,Chaparral,Sun;Part Shade,Clay;Sand,,None,Pollinator,Butterflies;Hummingbirds,No,0,Sidewalk;Garden,NA,NA,Intermittent bloom throughout the year.,,Philip Bouchard (CC BY-NC-ND 2.0),Alan Harper (CC BY-NC 2.0),Kerry Woods (CC BY-NC-ND 2.0),Erick Lux (CC BY-NC-SA 2.0),,,Yes,1,Yes,1,Yes,1,,,,,,,,
Garrya elliptica,Coast Silktassel,Garryaceae,,Shrub (evergreen),Winter,White,13-24 ft,SF Native ,Coastal scrub;Woodland,Sun;Shade,clay;loam,,Low,Fruit;Cover,Bees;Birds,Yes,1,Sidewalk,NA,2 (B),"Beautiful plant that gets large, is wind pollinated, and could be trained into a single stem tree.",Oaktown;Native Here;Mission Blue;Flora Grubb;Bay Natives;East Bay Wilds;Sutro Stewards;,"SelecTree. ""Garrya elliptica Photo Record."" 1995-2012. Jul 7, 2014.","SelecTree. ""Garrya elliptica Photo Record."" 1995-2012. Jul 7, 2014.","SelecTree. ""Garrya elliptica Photo Record."" 1995-2012. Jul 7, 2014.","SelecTree. ""Garrya elliptica Photo Record."" 1995-2012. Jul 7, 2014.",,Shady Clay,Yes,1,Yes,1,Yes,1,Y,1,,,Shady Clay,1,,
Geijera parviflora,Australian Willow,Rutaceae,,Tree (evergreen),Spring,White,> 24 ft,Exotic,,Sun,Loam;Sand,,Moderate,,,Yes,1,Sidewalk,NA,2 (B),"Prefers heat, wind protection.",,"SelecTree. ""Geijera parviflora Photo Record."" 1995-2012. Jul 7, 2014.","SelecTree. ""Geijera parviflora Photo Record."" 1995-2012. Jul 7, 2014.","SelecTree. ""Geijera parviflora Photo Record."" 1995-2012. Jul 7, 2014.","SelecTree. ""Geijera parviflora Photo Record."" 1995-2012. Jul 7, 2014.",,,,,,,Yes,1,,,,,,,,
Gilia capitata ssp. Chamissonis,Dune Gilia,Polemoniaceae,,Annual,Spring;Summer,Blue,1-3 ft,SF Native ,Coastal scrub;Dunes;Grassland/prairie,Sun,Clay;Loam;Sand,,None,Pollinator,Bees;Butterflies,No,0,Garden,NA,NA,,,©2009 Jorg Fleige (CC BY-NC 3.0),©2006 Andrea Jesse,©2003 Doreen L. Smith,©2011 Eric Wrubel/NPS,,,Yes,1,,,,,,,,,,,,
Gilia tricolor ssp. Tricolor,Bird's Eye Gilia,Polemoniaceae,,Annual,Summer,Purple,< 1 ft,CA Native,Grassland/prairie;Woodland,Sun;Part Shade,Clay;Loam,,Low,Pollinator,Bees;Birds;Butterflies;Hummingbirds,No,0,Garden,NA,NA,,,©2003 Michael Charters,©2003 George Jackson,©2010 Neal Kramer,©2010 Neal Kramer,,,Yes,1,,,,,,,,,,,,
Ginkgo biloba 'Autumn Gold',Maidenhair Tree,Ginkgoaceae,,Tree (deciduous),Spring,,> 24 ft,Exotic,,Sun,Clay;Loam;Sand,,Low,,,Yes,1,Sidewalk,NA,1 (A),"Slow grower. 'Princeton Sentry', 'Saratoga' another variety.",,"SelecTree. ""Ginkgo biloba Photo Record."" 1995-2012. Jul 7, 2014.","SelecTree. ""Ginkgo biloba Photo Record."" 1995-2012. Jul 7, 2014.","SelecTree. ""Ginkgo biloba Photo Record."" 1995-2012. Jul 7, 2014.","SelecTree. ""Ginkgo biloba Photo Record."" 1995-2012. Jul 7, 2014.",,,,,,,Yes,1,,,,,,,,
Glaux maritima,Sea milkwort,Myrsinaceae,,Perennial,Spring,White,1-3 ft,SF Native ,Wetland,Sun,Clay;Loam;Sand,,Moderate,,No data,No,0,Garden,NA,NA,,,©2013 Vernon Smith (CC BY-NC-ND 3.0),J. E.(Jed) and Bonnie McClellan © California Academy of Sciences,©2009 Phil Pullen,©2007 Steve Matson,,,Yes,1,,,,,,,,,,,,
Artemisia tridentata,Big Sagebrush,Asteraceae,,Shrub (evergreen),Summer,White,4-6 ft,CA Native,,Sun,Sand;Loam,,None,,,,,Garden,NA,NA,,,©2012 Jean Pawek,©2012 Jean Pawek,,,,,Yes,1,Yes,1,,,,,,,,,,
Banksia spp.,Banksia,Proteaceae,,Shrub (evergreen),,,13-24 ft,Exotic,,Sun,,,Low,Pollinator;Cover;Nesting,Birds,,,Garden,NA,NA,,,©2009 Zoya Akulova,©2016 Zoya Akulova,,,"integrifolia, speciosa",,Yes,1,Yes,1,,,,,,,,,,
Calliandra eriophylla,	Fairy Dustre,Fabaceae,,Shrub (evergreen),Spring;Winter,Pink,4-6 ft,CA Native,,Sun,Sand;Loam,,None,Pollinator,Birds;Hummingbirds,,,Garden,NA,NA,,,©2006 Steve Matson ,©2006 Steve Matson ,,,,,Yes,1,Yes,1,,,,,,,,,,
Ceanothus spp.,California Lilac,Rhamnaceae,,Shrub (evergreen),,,varies,CA Native,,Sun,,,Low,Pollinator,Birds;Bees,,,Garden,NA,NA,,,©2016 Keir Morse,©2009 Keir Morse,,,"'Joyce Coulter', 'Ray Hartman', 'Concha', 'Dark Star', 'Diamond Heights', gloriosus, griseus, thyrsiflorus repens,thyrisiflorus 'Yankee Point', thyrsiflorus 'Snow Flurry',griseus horizontalis,",,Yes,1,Yes,1,,,,,,,,,,
Grindelia hirsutula,San Francisco Gumplant,Asteraceae,,Perennial,Summer,Yellow,1-3 ft,SF Native ,Coastal scrub;Woodland,Sun;Part Shade,Clay;Rock,,None,Pollinator,Bees;Birds;Butterflies,Yes,1,Garden;Sidewalk;Roof,NA,NA,"CNPS Rare Plant. Tough plant, easy to grow, self seeding. Attracts Common Buckeye (Junonia coenia) butterfly.",Oaktown;Mission Blue;Candlestick;Bay Natives;East Bay Wilds;Sutro Stewards;Watershed Nursery;,"© Br. Alfred Brousseau, Saint Mary's College","© Br. Alfred Brousseau, Saint Mary's College",Robert Potts © California Academy of Sciences,©2004 Doreen L. Smith,,,Yes,1,,,Yes,1,Y,1,,,,,,
Grindelia stricta,Coastal Gumplant,Asteraceae,,Perennial,Spring;Summer;Fall,Yellow,< 1 ft,SF Native ,Dunes;Wetland,Sun;Part Shade,Clay;Loam;Sand,,Low,Pollinator;Nesting,Bees;Birds;Butterflies,No,0,Garden;Roof,NA,NA,,,©2010 Vernon Smith (CC BY-NC-ND 3.0),"© Br. Alfred Brousseau, Saint Mary's College",Eric Hunt (CC BY-NC-ND 2.0),Philip Bouchard (CC BY-NC-ND 2.0),,,Yes,1,,,,,,,,,,,,
Helianthus gracilentus,Slender Sunflower,Asteraceae,,Perennial,Spring;Summer,Yellow,4-6 ft,CA Native,Chaparral,Sun,Clay;Loam,,Low,Pollinator,Bees;Birds;Butterflies,No,0,Garden,NA,NA,Attracts Red-Winged Blackbird and Monarch Butterfly (Danaus plexippus).,,©2013 Keir Morse (CC BY-NC-SA 3.0),©2013 Keir Morse (CC BY-NC-SA 3.0),©2013 Keir Morse (CC BY-NC-SA 3.0),©2010 Zoya Akulova (CC BY-NC 3.0),,,Yes,1,,,,,,,,,,,,
Heliotropium curassavicum,Wild Heliotrope,Boraginaceae,,Perennial,Spring,White,< 1 ft,SF Native ,Wetland,Sun;Part Shade,Loam;Sand,,Low,Pollinator,Bees,No,0,Garden,NA,NA,,,"© Br. Alfred Brousseau, Saint Mary's College","© Br. Alfred Brousseau, Saint Mary's College","© Br. Alfred Brousseau, Saint Mary's College",©2004 Keir Morse  (CC BY-NC-SA 3.0),,,Yes,1,,,,,,,,,,,,
Heracleum maximum,Cow Parsnip,Apiaceae,Heracleum lanatum,Perennial,Summer,White,7-12 ft,SF Native ,Woodland;Coastal scrub;Wetland;Riparian,Part Shade,Loam;Sand,Cut to ground,Low,,Bees;Birds,No,0,Garden,6,NA,,,"© Br. Alfred Brousseau, Saint Mary's College","© Br. Alfred Brousseau, Saint Mary's College","© Br. Alfred Brousseau, Saint Mary's College",© 2000 Gary A. Monroe (CC BY-NC 3.0),,Shady Clay,Yes,1,,,,,,,,,Shady Clay,1,,
Heteromeles arbutifolia,Toyon,Rosaceae,,Shrub (evergreen),Summer,White,7-12 ft,SF Native ,Chaparral;Coastal scrub;Woodland,Sun;Part Shade,Clay;Loam;Sand;Rock,Minimal,None,Cover;Buds/greens;Fruit;Pollinator,Bees;Birds;Butterflies;Hummingbirds;Insects,Yes,1,Garden,23;4,NA,"White flowers in summer, red berries in winter. Attracts Cedar Waxwing, Robins, and Purple Finches.",Oaktown;Native Here;Mission Blue;Candlestick;Flora Grubb;Bay Natives;East Bay Wilds;Sutro Stewards;Watershed Nursery;,"Laura Camp ""campsjc"" (CC BY-SA 2.0)","James Gaither ""jim-sf"" (CC BY-NC-ND 2.0)","Belinda Lo ""western goblin"" (CC BY-NC-SA 2.0)",Roy Randall (CC BY-NC-ND 2.0),,Top 20,Yes,1,Yes,1,,,Y,1,,1,,,,
Origanum dictamnus,"Dittany of Crete, Hop Marjoram",Lamiaceae,,Perennial,Summer,Pink,< 1 ft,Exotic,,Sun,Sand;Loam,,None,Pollinator,Butterflies;bees,,,Sidewalk;Garden,NA,NA,,,©2011 Peter A. Mansfield,©2011 Peter A. Mansfield,,,,,Yes,1,,,Yes,1,,,,,,,,
Heterotheca sessiliflora ssp. Bolanderi,Bolander's Goldenaster,Asteraceae,,Perennial,Spring;Summer;Fall;Winter,Yellow,1-3 ft,CA Native ,Grassland/prairie,Sun,Clay;Rock,,None,Fruit;Pollinator,Bees;Birds;Butterflies,No,0,Garden,NA,NA,,,©2001 Doreen L. Smith,©2007 Neal Kramer,©2012 Aaron Arthur,©2007 Neal Kramer,,,Yes,1,,,,,,,,,,,,
